Case;P;Alpha;Gamma;Beta;AppMessagesPerCS;MessagesRequestPerNode;AverageWaitingTime;TimeU;TimeT;TimeN
case1;100.00;99;1;1;2.00;336698.66;967001984.00;98.99;1.01;0.00
case1;0.10;99;1;1001;2.00;336705.66;630316608.00;98.99;1.01;0.00
case1;0.08;99;1;1201;2.50;505086.63;562961408.00;98.99;1.01;0.00
case1;0.07;99;1;1401;2.53;515801.34;495633504.00;98.99;1.01;0.00
case1;0.06;99;1;1601;2.50;505104.69;428253120.00;98.99;1.01;0.00
case1;0.06;99;1;1801;2.86;627399.19;360965408.00;98.99;1.01;0.00
case1;0.05;99;1;2001;3.07;696605.13;293630912.00;98.99;1.01;0.00
case1;0.50;99;1;201;2.00;336714.41;899659328.00;98.99;1.01;0.00
case1;0.05;99;1;2201;3.27;765591.63;226284480.00;98.99;1.01;0.00
case1;0.04;99;1;2401;3.57;865498.38;158949984.00;98.99;1.01;0.00
case1;0.04;99;1;2601;4.06;1030023.63;91679280.00;98.98;1.01;0.01
case1;0.04;99;1;2801;4.46;1134407.13;51103808.00;96.26;0.98;2.76
case1;0.03;99;1;3001;4.58;1110189.13;38957164.00;91.21;0.93;7.86
case1;0.03;99;1;3201;4.64;1068082.88;31977408.00;86.29;0.88;12.83
case1;0.03;99;1;3401;4.68;1023110.00;27165908.00;81.76;0.83;17.41
case1;0.03;99;1;3601;4.71;979481.31;23477916.00;77.63;0.79;21.57
case1;0.03;99;1;3801;4.73;937915.94;20567444.00;73.87;0.75;25.37
case1;0.02;99;1;4001;4.75;898781.88;18168978.00;70.44;0.72;28.84
case1;0.25;99;1;401;2.00;336701.91;832321536.00;98.99;1.01;0.00
case1;0.02;99;1;4201;4.77;862759.88;16168702.00;67.30;0.69;32.02
case1;0.02;99;1;4401;4.78;828682.69;14544236.00;64.41;0.66;34.93
case1;0.02;99;1;4601;4.80;797288.69;13111689.00;61.75;0.63;37.62
case1;0.02;99;1;4801;4.81;767761.94;11883533.00;59.31;0.61;40.08
case1;0.02;99;1;5001;4.82;740210.81;10823727.00;57.04;0.58;42.37
case1;0.17;99;1;601;2.00;336706.31;764981248.00;98.99;1.01;0.00
case1;0.12;99;1;801;2.00;336700.31;697636608.00;98.99;1.01;0.00
case2;100.00;50;50;1;2.00;335007.69;983415552.00;49.75;50.25;0.00
case2;0.10;50;50;1001;2.00;335013.63;648417088.00;49.75;50.25;0.00
case2;0.08;50;50;1201;2.50;502515.44;581404352.00;49.75;50.25;0.00
case2;0.07;50;50;1401;2.50;502518.84;514403712.00;49.75;50.25;0.00
case2;0.06;50;50;1601;2.81;605765.88;447404928.00;49.75;50.25;0.00
case2;0.06;50;50;1801;2.97;660563.38;380390624.00;49.75;50.25;0.00
case2;0.05;50;50;2001;3.12;710152.69;313398496.00;49.75;50.25;0.00
case2;0.50;50;50;201;2.00;335011.16;916413504.00;49.75;50.25;0.00
case2;0.05;50;50;2201;3.25;754275.31;246422624.00;49.75;50.25;0.00
case2;0.04;50;50;2401;3.44;816927.06;181145504.00;49.64;50.14;0.21
case2;0.04;50;50;2601;3.78;903282.00;138679408.00;48.27;48.76;2.96
case2;0.04;50;50;2801;3.97;918647.44;119880536.00;45.87;46.33;7.80
case2;0.03;50;50;3001;4.11;910748.00;107159584.00;43.48;43.92;12.60
case2;0.03;50;50;3201;4.21;891637.94;97492192.00;41.24;41.66;17.10
case2;0.03;50;50;3401;4.29;868019.88;89652392.00;39.19;39.59;21.23
case2;0.03;50;50;3601;4.35;841951.63;83177656.00;37.31;37.68;25.01
case2;0.03;50;50;3801;4.40;814915.44;77608216.00;35.58;35.94;28.48
case2;0.02;50;50;4001;4.44;788249.69;72841088.00;34.00;34.34;31.66
case2;0.25;50;50;401;2.00;335004.38;849415488.00;49.75;50.25;0.00
case2;0.02;50;50;4201;4.48;763122.38;68590688.00;32.55;32.88;34.57
case2;0.02;50;50;4401;4.51;737971.06;64886296.00;31.21;31.52;37.27
case2;0.02;50;50;4601;4.54;714286.69;61534788.00;29.97;30.28;39.75
case2;0.02;50;50;4801;4.56;691674.38;58491440.00;28.83;29.12;42.05
case2;0.02;50;50;5001;4.59;670660.75;55735676.00;27.77;28.05;44.18
case2;0.17;50;50;601;2.00;335005.13;782413888.00;49.75;50.25;0.00
