Case;P;Frequency;AverageTimeRecovery;TotalMsgRecovery;AgeRecoveryLine;SizeCheckpoint
case1;100.00;400.00;353.54;205.05;0.18;1382.02
case1;10.00;400.00;340.40;197.43;0.18;1399.59
case1;1.00;400.00;382.83;222.04;0.34;1381.66
case1;0.10;400.00;382.83;222.04;0.22;1454.96
case1;0.07;400.00;511.11;296.44;0.90;1433.33
case1;0.05;400.00;725.25;420.65;1.74;1419.34
case1;0.04;400.00;634.34;367.92;1.68;1420.34
case1;3.33;400.00;355.56;206.22;0.17;1386.77
case1;0.03;400.00;319.19;185.13;0.32;1404.12
case1;0.03;400.00;545.45;316.36;0.82;1412.83
case1;0.03;400.00;288.89;167.56;0.16;1386.72
case1;0.02;400.00;295.96;171.66;0.09;1395.74
case1;20.00;400.00;326.26;189.23;0.11;1375.82
case1;0.20;400.00;351.52;203.88;0.17;1449.31
case1;0.02;400.00;234.34;135.92;0.03;1392.35
case1;0.02;400.00;209.09;121.27;0.05;1389.83
